BC/MeanLoss,Expert/AverageDiscountedReturn,Expert/MaxModReturn,Expert/AverageModReturn,Expert/AverageDiscountedModReturn,Expert/TerminationRate,BC/StdLoss,Expert/MinReturn,Expert/StdReturn,Expert/MinModReturn,Expert/StdModReturn,Expert/NumEpisodes,Expert/AverageReturn,TotalEnvSteps,Expert/Iteration,Expert/MaxReturn
0.03901184705644846,1146.3418398163815,3672.4959450307474,1146.3418398163815,1146.3418398163815,1.0,0.04635286521883518,428.40872671967503,730.3130470181458,428.40872671967503,730.3130470181458,82,1146.3418398163815,10068,0,3672.4959450307474
0.0248953852718696,973.43931980977,2822.2555109059326,973.4393198097698,973.43931980977,1.0,0.0058202374998176125,428.40872671967503,495.6170773807444,428.40872671967503,495.6170773807444,97,973.4393198097698,20184,1,2822.2555109059326
0.02435319366399199,1160.5269321971045,6076.422696264981,1160.5269321971045,1160.5269321971045,1.0,0.006919186094594259,409.07769021662966,961.4126859703533,409.07769021662966,961.4126859703533,81,1160.5269321971045,30252,2,6076.422696264981
0.02258685379009694,1248.5449295339217,6076.422696264981,1248.544929533922,1248.5449295339217,1.0,0.006301227033031539,409.07769021662966,925.7287337517882,409.07769021662966,925.7287337517882,75,1248.544929533922,40280,3,6076.422696264981
0.023102475062943995,1080.4954301106527,5618.014612398047,1080.495430110653,1080.4954301106527,1.0,0.006637158885699047,409.20142901114974,863.8299782868894,409.20142901114974,863.8299782868894,91,1080.495430110653,50812,4,5618.014612398047
0.02036576574575156,1258.6577775369574,5618.014612398047,1258.6577775369574,1258.6577775369574,1.0,0.007602659173123949,390.1156896279495,888.45619190497,390.1156896279495,888.45619190497,75,1258.6577775369574,60921,5,5618.014612398047
0.0220993362814188,1199.1226643091243,6076.422696264981,1199.122664309124,1199.1226643091243,1.0,0.007128314523355594,437.36850138610816,936.0016859618324,437.36850138610816,936.0016859618324,79,1199.122664309124,71067,6,6076.422696264981
0.02102120367716998,1044.804178494015,3542.0208298706825,1044.804178494015,1044.804178494015,1.0,0.006792762266031303,409.20142901114974,640.3612602246494,409.20142901114974,640.3612602246494,90,1044.804178494015,81140,7,3542.0208298706825
0.021227397396229208,1132.2976380333557,4898.191783346358,1132.2976380333555,1132.2976380333557,1.0,0.007790036479990389,390.1156896279495,740.98930896026,390.1156896279495,740.98930896026,83,1132.2976380333555,91206,8,4898.191783346358
0.021451944839209317,1061.2882150748474,4363.903233700255,1061.2882150748474,1061.2882150748474,1.0,0.007858978743945411,390.1156896279495,668.021087122843,390.1156896279495,668.021087122843,89,1061.2882150748474,101324,9,4363.903233700255
0.019518512658774852,1213.95328201173,5618.014612398047,1213.9532820117297,1213.95328201173,1.0,0.006363712656183372,203.7295704086656,931.7281033857874,203.7295704086656,931.7281033857874,78,1213.9532820117297,111465,10,5618.014612398047
0.019642484207637607,1144.4057077620191,3542.0208298706825,1144.4057077620191,1144.4057077620191,1.0,0.0062899878707226445,409.07769021662966,724.2455435475363,409.07769021662966,724.2455435475363,82,1144.4057077620191,121516,11,3542.0208298706825
0.02019769063126296,1286.7889385659748,5618.014612398047,1286.7889385659748,1286.7889385659748,1.0,0.007293854494302668,474.55738237262545,950.9508681825372,474.55738237262545,950.9508681825372,73,1286.7889385659748,131576,12,5618.014612398047
0.018511058676056565,1175.077147262602,4458.605710002036,1175.0771472626022,1175.077147262602,1.0,0.005443396604975526,437.4207377337246,851.3979701687427,437.4207377337246,851.3979701687427,80,1175.0771472626022,141644,13,4458.605710002036
0.018470960364677012,1134.0910384841932,3542.0208298706825,1134.0910384841932,1134.0910384841932,1.0,0.006298732325592041,203.7295704086656,662.2939975878035,203.7295704086656,662.2939975878035,83,1134.0910384841932,151726,14,3542.0208298706825
0.01960203208960593,1155.1863595765851,4363.903233700255,1155.1863595765851,1155.1863595765851,1.0,0.006003301900006676,409.07769021662966,770.7273018309404,409.07769021662966,770.7273018309404,81,1155.1863595765851,161748,15,4363.903233700255
0.01924380989186466,1101.4231297062352,3037.305190129551,1101.4231297062352,1101.4231297062352,1.0,0.006799478530339723,390.1156896279495,639.5112188705232,390.1156896279495,639.5112188705232,85,1101.4231297062352,171776,16,3037.305190129551
0.018542442181147634,1156.2572888373024,4898.191783346358,1156.2572888373027,1156.2572888373024,1.0,0.006884234005372498,428.40872671967503,879.4773026961,428.40872671967503,879.4773026961,81,1156.2572888373027,181807,17,4898.191783346358
0.019308095957152546,1197.7539508697344,3542.0208298706825,1197.7539508697344,1197.7539508697344,1.0,0.00679707234019386,203.7295704086656,823.2884220823299,203.7295704086656,823.2884220823299,79,1197.7539508697344,191941,18,3542.0208298706825
0.019066243234090507,1163.9475897620591,3346.188395980525,1163.9475897620591,1163.9475897620591,1.0,0.006882794209235434,428.40872671967503,668.9635821546574,428.40872671967503,668.9635821546574,82,1163.9475897620591,202163,19,3346.188395980525
